start	end	original_text
0.0	7.0	<i>Regie Cabico</i>: Test mic. Hey everybody, please put your hands together, welcome to On the Move! [[applause]]
7.0	10.0	When I say 'poetry' you say 'rocks'.
10.0	11.0	Poetry
11.0	12.0	"<i>Audience</i>: rocks! 
<i>Regie Cabico</i>: Poetry 
<i>Audience</i>: rocks!"
12.0	13.0	"<i>Regie Cabico</i>: Poetry 
<i>Audience</i>: rocks!"
13.0	16.0	"<i>Regie Cabico</i>: When I say 'spoken' you say 'word'. Spoken 
<i>Audience</i>: word"
16.0	17.0	"<i>Regie Cabico</i>: Spoken 
<i>Audience</i>: word"
17.0	18.0	<i>Regie Cabico</i>: When I say 'to be' you say 'heard'.
18.0	20.0	<i>Regie Cabico</i>: To be
20.0	29.0	"<i>Audience</i>: heard 
<i>Regie Cabico</i>: To be 
<i>Audience</i>: heard 
<i>Regie Cabico</i>: To be 
<i>Audience</i>: heard 
<i>Regie Cabico</i>: If this is your very first time at the Folklife Festival, make some noise! [[Audience cheers]]"
29.0	40.0	Alright, first-timers, you're just in time 'cause this is our fifty-year anniversary. My name is Regie Cabico. I am the curator of this program called 'Capturing Fire'.
40.0	51.0	If you don't know what Capturing Fire is, it is an annual queer spoken-word slammin' summit that happens in Washington D.C., going into its eighth year.
51.0	72.0	We've had phenomenal poets. As part of On the Move you're going to be hearing stories, spoken word poetry by people of color, children of immigrants, trans and queer identified performers. So we invite you to listen to our stories.
72.0	82.0	The takeaway message of On the Move. Since the beginning American culture has been shaped by the movement of people to and within the United States.
82.0	91.0	Recent immigrants with those who preceded them by generations or by millennia have contributed to the vitality of this country.
91.0	99.0	An understanding of the resilience of heritage, the many shapes of community and identity, and the creative potential and tensions between past and future.
99.0	118.0	We have three phenomenal spoken-word poets whom you will be hearing from in the house. We have Gary Kay. [[applause]] We have Dia Bui [[applause]] and we have Jerrica Escoto. [[applause]]
118.0	131.0	So if there are any Filipino folks, make some noise, Filipinos! [[cheering and applause]] Alright, excellent. So I'm going to kick off this piece. This is dedicated to everyone who's had to check a box.
131.0	152.0	The government asks me to check one if I want money. I say, 'how could you ask me to be one race? I stand proudly before you, a fierce Filipino, who knows how to belt hard gospel songs played to African drums at a Catholic mass
152.0	166.0	And loving the music to suffering beats and lashes from men's eyes of the capital's streets. Southeast D.C. with its sleepy crime. My mother nursed patients from seven to nine.
166.0	185.0	Patients gray from the railroad riding past civil rights. I walked their tracks when I entertained them at the chapel and made their canes pillars of percussion to my heavy gospel. My comedy out loud laughing about our shared stolen experiences of the South.
185.0	206.0	Would it surprise you if I told you my blood was delivered from north? Or Portuguese vessels who gave me spiritual stones and the turn in my eyes? My father's name where they conquered the Pacific isles? My hair is black and thick as nagrito, growing abundant the Sampaguita
