start	end	original_text
0.0	20.0	{Speaker 1} [[??Unknown speaker]] The Folklife Festival, as you may know, is produced by the Smithsonian Center for Folk Life and Cultural Heritage. Our co-sponsor is the National Park Service and we are very happy to be here on the National mall, using our--this wonderful site framed by the U.S. Capitol, Washington Monument, and Museums of the Smithsonian Institution.
20.0	33.0	The festival is supported in part by federal funds, by Smithsonian trust funds, by contributions from governments, corporations, foundations, and individuals like yourself.
33.0	43.0	One way you can help contribute is by visiting our festival marketplace, which is just to the west, in front of the National Museum of American History.
43.0	48.0	We've got beautiful craft items, made by our participants from China and from Kenya.
48.0	52.0	You can also visit, if you haven't already, our food concessions.
52.0	57.0	We have a food concession directly behind you called [[?? Chinese name]]
57.0	75.0	"""Let's Eat,"" serving Mapo Tofu and dumplings Lo Mein, cucumber salad. And further to the east we have two food concessions, one from--one representing Kenyan coastal cuisine and one representing Kenyan uplands cuisine."
75.0	89.0	This particular program, China, Tradition, and the Art of Living, is produced by the Smithsonian Center for Folk Life and Cultural Heritage in partnership with the China International Culture Association, working with the China Arts and Entertainment Group.
89.0	98.0	Additional support is provided by the West Calhoun  Cultural District, the Hong Kong S.A.R. and the [[??Unknown name]] Provincial Department of Culture.
98.0	113.0	"So, we're about to begin a session we're calling ""Sweet and Sour: Chinese Food in America."" And today, Sunday June 28th is our--sorry June 29th [laughs] is our Diaspora Day."
113.0	121.0	We're very fortunate to have the support of the Smithsonian Asian-Pacific American Center.
121.0	128.0	And representing the center is Adriel Luis, who is a curator of digital and emerging media, on the far left here.
128.0	137.0	And next to me is Cedric Yeh, who is the Deputy Chair for the division of Armed Forces History at the National Museum of American History.
137.0	152.0	But aside from their roles at the Smithsonian, they also have deeper connections to Chinese food, so maybe I'll ask each of them to introduce themselves and tell us, what is their connection to Chinese food. Maybe start with Adriel.
152.0	158.0	{Adrial Luis} Hello everybody. Thank you for joining us today on Diaspora Day. My name is Adriel Luis.
158.0	169.0	I was born and raised in the Bay Area, California. My family is from Hong Kong, but our migration pattern kind of came through Mexico City.
169.0	176.0	My grandfather and great-grandfather moved there, owned a restaurant, and then eventually they moved up to San Francisco.
176.0	183.0	And then my grandfather owned a restaurant over there. And so, I kind of grew up eating really good Chinese food.
183.0	196.0	And then, I started working at Smithsonian about a year ago. Before that I was living in Beijing and that was actually the first time in, like, 3 or 4 generations that my family had actually resided in mainland China.
196.0	206.0	And so, it was just really interesting growing up eating what I thought was authentic Chinese food, and then actually getting a taste of it. And so, yeah--
206.0	212.0	{Speaker 1} And so Cederic, maybe tell us a little bit about your connections to Chinese food.
212.0	224.0	{Cederic Yeh} Good afternoon everybody. Thank you for coming out, on what's turned out to be a lovely Sunday afternoon. I was about to apologize for the D.C. heat, but it's not so bad.
224.0	241.0	As Jim mentioned, I'm curator in the Armed Forces History division because as we all know, the U.S. Army loves Chinese Food. [laughs] But, my direct connection is that I grew up in a Chinese restaurant.
241.0	248.0	You know, if you ever went to a take-out joint or something like that, you saw a little kid running around, inside and out and then around the tables. That was basically me.
248.0	255.0	And--Except I didn't know that there was a larger story to be told there. For me it was just home.
255.0	273.0	Recently I had the opportunity to begin long-range research into the history of Chinese food in America, to talk about broader issues of immigration, assimilation, and entrepreneurialship. And, that's led me here, today.
273.0	287.0	{Speaker 1} As we were preparing for this session, Cederic told me that there are more Chinese restaurants in the United States than there are McDonald's, Burger Kings, and Pizza Huts, combined.
287.0	297.0	So, the question is why is Chinese food so popular in the United States or around the world? How would--Who wants to address that first? Cederic?
297.0	310.0	{Cederic Yuh} It's a fascinating number I came across. It was one of the first things that got my interest. It's kind of an amazing number. The last time I checked the census, it was around 50,000.
310.0	321.0	If you're trying to figure out that number, everybody thinks there are Starbucks across the street from one another, two blocks away from one another. You wonder why there are so many.
321.0	325.0	There's only around 13,000 Starbucks in the world. Alright, that's just to give you an idea.
325.0	347.0	As for the question of why--you can have that many restaurants, that's been part of my study for the last 3 or 4 years. There's no direct answer why the popularity, but some of the idea is this: it's always been affordable, it's always been something that people could get a full meal--a whole, full meal for your family for $20.
347.0	357.0	It's always been, at least in the early stages, exotic. It gives people a sense that they're trying something from far away. But lately it's become something more predictable.
357.0	360.0	It's something that we all understand. If you're moving from one coast to the next, you don't have anything in your house, you know you can ring up the local Chinese place and you know what you can order.
360.0	373.0	It's pretty much the same. There's appetizers on the left, main courses in the middle, and then on the right side of the fold they're probably going to have some American dishes.
373.0	386.0	And you probably know what they are. So, it's reached a saturation point where everyone feels comfortable with it. And it helps generate its own form of momentum--forward momentum.
386.0	394.0	{Speaker 1} Adriel what are your thoughts on this? Why is Chinese food so popular, either in the United States, around the world, or perhaps--yeah, please.
394.0	412.0	{Adriel Luis} You know I think a lot of people think about cuisine and restaurants coming from a consumer standpoint. I think one of the things about Chinese restaurants is that they're not always necessarily started by people who have a background in cuisine.
412.0	428.0	And so, when you think about immigration from China and people landing in and what are some entry-point businesses they can open up, the ones that kind of ended up sprouting up among Chinese communities were restaurants and laundromats.
