start	end	original_text
16.0	22.0	"[Music and chatter in background] [Sounds of a guitar riff] 
<i>Speaker 1</i>: So, they may or may not be on their way, I don't know, basically. They're not even orientated now. We might have it cancel it."
22.0	24.0	<i>Speaker 1</i>: I don't even know if its Salar.
24.0	28.0	<i>Speaker 1</i>: When I talked to him I was like 'come on, we're getting on the bus, we're leaving'.
28.0	39.0	"<i>Speaker 4</i>: And the bus already arrived you know 
<i>Speaker 1</i>: I know"
39.0	46.0	<i>Speaker 1</i>: Can you get them as close to the Soka cite as you can? Um, or if I guess. I guess.
46.0	54.0	"<i>Speaker 2</i>: (translation from Spanish) They arrived, no? Eleven: twenty-three. If they run 
<i>Speaker 4</i>: (man in background) (translation from Spanish) They have seven minutes."
54.0	57.0	<i>Speaker 2</i>: [translation from Spanish] they should leave them here.
57.0	59.0	"<i>Speaker 2</i>: yes 
<i>Speaker 4</i>: They are off the bus."
59.0	63.0	"<i>Speaker 4</i>: (laughs) That's not good. 
<i>Speaker 2</i>: No, they are here. Somewhere here, I guess."
63.0	67.0	"<i>Speaker 4</i>: I was just telling the bus to get us here [[?]]. 
<i>Speaker 1</i>: They will be here in two minutes."
67.0	80.0	<i>Speaker 2</i>: Thank you. (faint clapping) Thank you (laughs).
80.0	87.0	(Chatter)
87.0	90.0	(Guitar playing)
90.0	95.0	<i>Speaker 5</i>: (translation from Spanish) One, two, three. (In English) One, two, three. (translation from Spanish) One, two, three.
95.0	100.0	"<i>Speaker 5</i>: (translation from Spanish) Perhaps, this will be the telephone or microphone of Dan Sheehan 
[SILENCE] to perform."
100.0	102.0	<i>Speaker 6</i>: (translation) Ah, its going to be him? Didn't you say it was going to be a girl?
102.0	108.0	"<i>Speaker 5</i>: (translation from Spanish) No, he is with them. 
<i>Speaker 6</i>: (expresses that she understands) Ah."
108.0	113.0	<i>Speaker 3</i>: (In the background) So, is he translating? Or is he just doing introductions?
113.0	120.0	<i>Speaker 6</i>: (translation from Spanish) Are you going to help me again?
120.0	124.0	<i>Speaker 5</i>: (translation from Spanish) One, two, three.
124.0	126.0	<i>Speaker 6</i>: Can you lower down the...?
126.0	131.0	<i>Speaker 5</i>: (translation from Spanish) And one, two, three.
131.0	137.976	(chatter and music)
