start	end	original_text
0.0	9.0	<i>Regie Cabico</i>: We are going to get started with our next program, which is called My H'Oprah, um discussions on Filipino American identity and queerness.
9.0	22.0	I am Regie Cabico, um if you were here a little bit earlier you saw capturing fire, queer, immigrant, queer, poets speaking.
22.0	37.0	And so right now it gives me great pleasure because I have this opportunity to delve more into the Filipino Queer identity, with Jerrica Escoto. Um, He and I are really excited to be here, if you don't know what On the Move is,
37.0	46.0	um, it is the examination of American culture that's been shaped by the movement of people to and within the United States.
46.0	57.0	On the Move creates an understanding of the resilience of heritage, the many shapes of community and identity and the creative potential intentions between past and future.
57.0	71.0	Big Big Big shoutout to Sochin Kim and Olivia Caraval and Amalia and all of our fabulous, um, sponsors the Smithsonian Latino Center, Asian Pacific American Center,
71.0	84.0	Triple A, it's not what you think, it's the American Anthropological Association, with the collaboration of Anacostia Community Museum, National Museum of American History, On The Move Advisory Committee, Youth Advisory council,
84.0	93.0	United States Citizen Citizenship and Immigration Services, National Park Service and WAMU.
93.0	103.0	Big big shoutout to all of you who are here. So, um Jerrick and I are going to do stories and poems,
103.0	112.0	we are going to go back and forth, and then we are going to have a little bit of a dialogue and so we hope at the end we hope to hear from some of you.
112.0	116.0	Learning to be my father's son.
116.0	121.0	You were a caribou lifting rice sacks under the Pangasinan sun,
121.0	123.0	a handsome sailor on his way to Greece.
123.0	128.0	Instead found a Filipino nurse who hummed Elvis tunes.
128.0	131.0	She thought America would be a technicolored beach,
131.0	138.0	but she arrived during the coldest Baltimore winter surprised by foods like pizza.
138.0	143.0	You bought a house with a fireplace. It was romantic, mom said.
143.0	150.0	While mom worked late shifts, you watched basketball. The bounce of your belt breaking me when I was 3.
150.0	155.0	For twisting the controls of the portable TV, called me destroyer.
155.0	161.0	You fed me the finest adobo, stews of blood garlic chili peppers.
161.0	165.0	When driving me to piano lessons, you said you can never eat a piano.
165.0	172.0	Dad, you can turn so red and jolly, you convinced all the neighbors that you should play Santa Claus,
